,Max,Min,Mean,Var,Gender,label
84,209,129,155.34,281.98424242424244,0,1
85,217,133,158.66,381.8024242424242,0,1
86,209,133,163.22,178.98141414141418,0,1
87,230,125,151.94,383.14787878787877,0,1
88,193,129,162.72,225.07232323232324,0,1
89,233,141,167.87,513.770808080808,0,1
90,232,143,164.7,431.6868686868686,0,1
91,186,141,158.3,91.68686868686872,0,1
92,363,161,234.81,1701.9736363636362,0,1
93,227,132,185.0,856.3030303030303,0,1
94,204,131,175.29,269.1170707070708,0,1
95,248,166,196.85,368.18939393939394,0,1
96,206,164,179.52,97.60565656565659,0,1
97,229,170,191.13,111.95262626262628,0,1
98,241,172,195.71,245.6221212121212,0,1
99,225,64,195.25,330.6540404040404,0,1
100,82,36,54.53,152.43343434343433,0,2
101,104,43,66.21,145.58171717171714,0,2
102,167,48,82.22,1299.0218181818184,0,2
103,140,54,91.64,552.1721212121212,0,2
104,79,46,63.18,62.63393939393938,0,2
105,130,40,72.77,519.1283838383838,0,2
106,87,34,57.41,177.90090909090907,0,2
107,58,27,36.62,27.99555555555556,0,2
108,92,47,65.31,99.71101010101012,0,2
109,90,25,50.72,300.2440404040404,0,2
110,81,20,51.32,303.0076767676768,0,2
111,90,34,50.68,162.05818181818185,0,2
112,88,37,58.18,207.90666666666672,0,2
113,82,25,52.09,137.0928282828283,0,2
114,62,28,42.35,79.3409090909091,0,2
115,55,28,38.41,34.72919191919191,0,2
116,56,31,43.62,32.88444444444444,0,2
117,55,25,39.71,47.6019191919192,0,2
118,55,25,41.81,37.34737373737374,0,2
119,51,22,38.56,44.02666666666667,0,2
120,60,24,35.23,65.67383838383839,0,2
121,41,24,31.28,13.153131313131315,0,2
122,51,24,35.41,28.97161616161616,0,2
123,55,29,40.14,29.31353535353535,0,2
124,58,23,36.6,71.29292929292932,0,2
125,52,23,34.06,54.663030303030304,0,2
126,60,29,39.18,27.058181818181822,0,2
127,51,27,40.92,28.49858585858586,0,2
128,64,28,39.51,49.949393939393936,0,2
129,50,29,39.05,17.78535353535354,0,2
130,52,29,35.84,16.4589898989899,0,2
131,67,41,53.45,29.098484848484848,0,2
132,59,31,40.82,37.58343434343435,0,2
133,57,30,40.59,35.35545454545454,0,2
134,52,24,35.82,54.41171717171717,0,2
135,70,27,40.57,87.52030303030301,0,2
136,75,30,44.46,74.91757575757576,0,2
137,56,27,42.66,36.1458585858586,0,2
138,65,37,48.59,33.19383838383838,0,2
139,57,26,41.13,48.700101010101015,0,2
140,62,32,41.25,29.805555555555557,0,2
141,58,34,44.54,30.75595959595959,0,2
142,54,34,43.02,17.15111111111111,0,2
143,60,33,46.6,43.5959595959596,0,2
144,63,37,47.91,44.587777777777774,0,2
145,63,32,46.81,46.92313131313131,0,2
146,65,34,47.52,41.32282828282828,0,2
147,63,32,49.22,43.38545454545455,0,2
148,64,28,43.01,61.020101010101,0,2
149,196,32,41.28,261.79959595959593,0,2
150,255,183,201.36,319.82868686868693,0,3
151,210,182,192.01,30.858484848484856,0,3
152,206,181,194.61,29.997878787878783,0,3
153,202,175,188.46,34.71555555555556,0,3
154,200,177,188.28,18.567272727272726,0,3
155,200,177,187.35,25.90656565656565,0,3
156,200,182,191.73,11.22939393939394,0,3
157,209,184,195.61,22.947373737373738,0,3
158,203,183,190.78,14.880404040404036,0,3
159,198,181,188.14,13.131717171717174,0,3
160,203,182,192.47,18.817272727272726,0,3
161,210,181,192.99,30.01000000000001,0,3
162,197,182,189.15,13.462121212121213,0,3
163,203,178,190.26,31.58828282828282,0,3
164,198,176,185.94,18.764040404040404,0,3
165,201,182,191.55,15.239898989898988,0,3
166,198,183,188.62,10.86424242424242,0,3
167,202,179,191.47,18.635454545454543,0,3
168,204,187,194.53,11.342525252525254,0,3
169,213,191,201.63,24.31626262626263,0,3
170,210,191,199.93,16.247575757575753,0,3
171,207,189,198.06,22.804444444444442,0,3
172,209,189,198.14,19.919595959595963,0,3
173,217,195,204.84,21.206464646464646,0,3
174,209,193,201.47,11.867777777777778,0,3
175,209,190,200.55,13.199494949494948,0,3
176,213,193,201.98,13.433939393939394,0,3
177,206,187,198.75,13.704545454545455,0,3
178,213,193,201.48,23.060202020202016,0,3
179,210,189,201.17,22.768787878787883,0,3
180,207,183,196.17,22.788989898989904,0,3
181,211,188,197.96,13.048888888888888,0,3
182,207,186,196.22,19.648080808080806,0,3
183,213,193,200.53,17.584949494949498,0,3
184,246,191,207.44,146.12767676767677,0,3
185,211,187,198.52,41.22181818181818,0,3
186,206,185,194.47,24.857676767676764,0,3
187,210,184,195.95,31.825757575757574,0,3
188,206,180,194.39,26.785757575757575,0,3
189,204,187,195.47,16.79707070707071,0,3
190,206,185,194.31,20.84232323232323,0,3
191,206,188,196.52,18.130909090909093,0,3
192,214,189,200.92,21.97333333333333,0,3
193,206,187,195.85,14.775252525252522,0,3
194,218,186,201.78,36.41575757575758,0,3
195,219,182,204.47,36.433434343434335,0,3
196,186,164,174.58,32.12484848484849,0,3
197,190,170,177.51,23.727171717171714,0,3
198,178,162,169.49,15.666565656565659,0,3
199,247,172,182.36,53.586262626262624,0,3
200,383,235,274.34,941.0549494949493,1,0
201,434,231,281.19,2278.034242424242,1,0
202,475,238,298.37,3322.2960606060606,1,0
203,397,235,276.59,1693.1332323232323,1,0
204,413,229,276.21,1731.399898989899,1,0
205,402,230,275.13,1473.3263636363636,1,0
206,408,227,271.19,1848.9029292929292,1,0
207,327,225,262.58,795.2965656565657,1,0
208,421,231,282.37,1965.7304040404042,1,0
209,420,230,284.49,3044.555454545454,1,0
210,387,230,276.96,2126.7660606060613,1,0
211,450,224,275.45,3485.3409090909095,1,0
212,415,226,269.17,1645.8192929292927,1,0
213,360,234,274.06,1370.0367676767676,1,0
214,350,222,266.48,745.7470707070707,1,0
215,371,233,272.0,1038.5050505050506,1,0
216,380,236,273.38,1252.7026262626262,1,0
217,344,226,255.46,804.311515151515,1,0
218,303,232,255.21,382.02616161616174,1,0
219,402,233,272.45,1502.7954545454545,1,0
220,343,223,259.92,868.8420202020202,1,0
221,337,217,263.01,1118.5352525252526,1,0
222,450,234,297.14,3156.0610101010097,1,0
223,438,227,287.31,3848.4988888888897,1,0
224,393,228,266.92,1680.0137373737373,1,0
225,352,217,255.13,875.9728282828282,1,0
226,374,225,265.29,1716.9352525252527,1,0
227,397,222,269.35,2303.6035353535353,1,0
228,291,216,247.57,269.70212121212126,1,0
229,397,220,270.74,1894.719595959596,1,0
230,329,226,262.03,718.978888888889,1,0
231,316,230,254.69,396.82212121212126,1,0
232,383,229,279.73,2308.138484848485,1,0
233,362,225,253.53,1217.7667676767676,1,0
234,310,227,258.15,563.4217171717172,1,0
235,334,225,258.91,754.0827272727272,1,0
236,390,238,278.52,1483.7066666666663,1,0
237,367,229,264.81,1096.9635353535352,1,0
238,310,221,243.94,360.7034343434344,1,0
239,340,223,260.86,1085.111515151515,1,0
240,423,231,266.31,1676.6807070707073,1,0
241,378,226,257.29,1142.8140404040403,1,0
242,450,225,276.37,3150.477878787878,1,0
243,373,223,260.55,1299.8661616161617,1,0
244,397,223,260.65,1727.9065656565654,1,0
245,324,222,253.98,748.3026262626261,1,0
246,362,213,252.24,1244.9923232323233,1,0
247,377,223,256.11,1139.3716161616162,1,0
248,354,216,259.79,1169.8847474747477,1,0
249,327,137,251.28,563.6783838383839,1,0
250,261,117,145.61,942.8463636363637,1,1
251,203,113,142.78,302.84000000000003,1,1
252,176,117,143.73,172.78494949494947,1,1
253,208,119,146.13,375.7708080808081,1,1
254,182,109,140.89,447.8968686868687,1,1
255,194,109,142.92,398.6197979797979,1,1
256,185,107,131.58,287.51878787878786,1,1
257,188,104,129.05,311.84595959595964,1,1
258,170,107,128.9,261.040404040404,1,1
259,157,109,125.14,118.32363636363635,1,1
260,191,106,128.41,280.64838383838384,1,1
